tax_payment_id,registration_no,apply_dt,from_date,to_date,amount,receipt_no,issue_dt
460388,NL01/N0376,13/07/2016,01/10/2016,30/09/2017,5836,KA24697,12/07/2016
460342,NL01/N0377,13/07/2016,01/10/2016,30/09/2017,5836,KA24374,12/07/2016
460343,NL01/N0416,13/07/2016,01/10/2016,30/09/2017,7356,KA24376,12/07/2016
460131,NL01/N0816,13/07/2016,01/10/2016,30/09/2017,6443,KA24376,12/07/2016
460344,NL01/N0817,13/07/2016,01/10/2016,30/09/2017,6444,KA24377,12/07/2016
460132,NL01/N0818,13/07/2016,01/10/2016,30/09/2017,6444,KA24379,12/07/2016
460133,NL01/N0819,13/07/2016,01/10/2016,30/09/2017,6444,KA24380,12/07/2016
460134,NL01/N0820,13/07/2016,01/10/2016,30/09/2017,6444,KA24381,12/07/2016
460135,NL01/N0821,13/07/2016,01/10/2016,30/09/2017,6444,KA24382,12/07/2016
460136,NL01/N0822,13/07/2016,01/10/2016,30/09/2017,6444,KA24383,12/07/2016
460137,NL01/N0823,13/07/2016,01/10/2016,30/09/2017,6444,KA24384,12/07/2016
460138,NL01/N0824,13/07/2016,01/10/2016,30/09/2017,6444,KA24385,12/07/2016
460139,NL01/N0825,13/07/2016,01/10/2016,30/09/2017,6444,KA24386,12/07/2016
460423,NL01/Q CLASSIC1,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460422,NL01/Q CLASSIC2,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460424,NL01/Q DEEPAK,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460512,NL01/Q JITENDRA,15/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460355,NL01/Q KAPOOR,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460244,NL01/Q SS2,14/07/2016,01/07/2016,30/06/2017,7450,,13/07/2016
460249,NL01/Q SVT1,14/07/2016,01/07/2016,30/06/2017,4822,,13/07/2016
460250,NL01/Q SVT2,14/07/2016,01/07/2016,30/06/2017,4822,,13/07/2016
460251,NL01/Q SVT3,14/07/2016,01/07/2016,30/06/2017,4822,,13/07/2016
460252,NL01/Q SVT4,14/07/2016,01/07/2016,30/06/2017,4822,,13/07/2016
460253,NL01/Q SVT5,14/07/2016,01/07/2016,30/06/2017,4822,,13/07/2016
460119,NL01/Q YASHODHA,13/07/2016,01/07/2016,30/06/2017,,,12/07/2016
460182,NL01/Q0831,09/07/2016,01/07/2016,30/06/2017,11294,KA23410,08/07/2016
460183,NL01/Q0832,09/07/2016,01/07/2016,30/06/2017,11294,KA23415,08/07/2016
460184,NL01/Q0833,09/07/2016,01/07/2016,30/06/2017,11294,KA23419,08/07/2016
460185,NL01/Q0834,09/07/2016,01/07/2016,30/06/2017,11294,KA23423,08/07/2016
460186,NL01/Q0836,09/07/2016,01/07/2016,30/06/2017,12206,KA23394,08/07/2016
460187,NL01/Q0837,09/07/2016,01/07/2016,30/06/2017,12206,KA23397,08/07/2016
460188,NL01/Q0840,09/07/2016,01/07/2016,30/06/2017,5126,KA23383,08/07/2016
460189,NL01/Q0841,09/07/2016,01/07/2016,30/06/2017,5126,KA23387,08/07/2016
460190,NL01/Q0842,09/07/2016,01/07/2016,30/06/2017,5126,KA23339,08/07/2016
460191,NL01/Q0843,09/07/2016,01/07/2016,30/06/2017,5126,KA23336,08/07/2016
460192,NL01/Q0844,09/07/2016,01/07/2016,30/06/2017,5126,KA23343,08/07/2016
460193,NL01/Q0846,09/07/2016,01/07/2016,30/06/2017,5126,KA23344,08/07/2016
460194,NL01/Q0847,09/07/2016,01/07/2016,30/06/2017,5126,KA23379,08/07/2016
460195,NL01/Q0848,09/07/2016,01/07/2016,30/06/2017,5126,KA23375,08/07/2016
460196,NL01/Q0850,09/07/2016,01/07/2016,30/06/2017,5126,KA23373,08/07/2016
460238,NL01/Q0851,09/07/2016,01/07/2016,30/06/2017,5126,KA23370,08/07/2016
460197,NL01/Q0852,09/07/2016,01/07/2016,30/06/2017,5126,KA23345,08/07/2016
460198,NL01/Q0853,09/07/2016,01/07/2016,30/06/2017,5126,KA23346,08/07/2016
460199,NL01/Q0854,09/07/2016,01/07/2016,30/06/2017,5126,KA23353,08/07/2016
460200,NL01/Q0856,09/07/2016,01/07/2016,30/06/2017,5126,KA23358,08/07/2016
460201,NL01/Q0857,09/07/2016,01/07/2016,30/06/2017,5126,KA23361,08/07/2016
460202,NL01/Q0858,09/07/2016,01/07/2016,30/06/2017,5126,KA23365,08/07/2016
460203,NL01/Q0860,09/07/2016,01/07/2016,30/06/2017,5126,KA23527,08/07/2016
460204,NL01/Q0861,09/07/2016,01/07/2016,30/06/2017,5126,KA23528,08/07/2016
460205,NL01/Q0862,09/07/2016,01/07/2016,30/06/2017,5126,KA23529,08/07/2016
460206,NL01/Q0863,09/07/2016,01/07/2016,30/06/2017,5126,KA23530,08/07/2016
460207,NL01/Q0864,09/07/2016,01/07/2016,30/06/2017,5126,KA23631,08/07/2016
460208,NL01/Q0866,09/07/2016,01/07/2016,30/06/2017,5126,KA23532,19/07/2016
460209,NL01/Q0867,09/07/2016,01/07/2016,30/06/2017,5126,KA23533,08/07/2016
460210,NL01/Q0868,09/07/2016,01/07/2016,30/06/2017,5126,KA23534,08/07/2016
460211,NL01/Q0870,09/07/2016,01/07/2016,30/06/2017,5126,KA23535,08/07/2016
460212,NL01/Q0871,09/07/2016,01/07/2016,30/06/2017,10382,KA23460,08/07/2016
460213,NL01/Q0872,09/07/2016,01/07/2016,30/06/2017,6362,KA23467,08/07/2016
460214,NL01/Q0873,09/07/2016,01/07/2016,30/06/2017,8362,KA23470,08/07/2016
460215,NL01/Q0874,09/07/2016,01/07/2016,30/06/2017,8362,KA23474,01/07/2016
460216,NL01/Q0876,09/07/2016,01/07/2016,30/06/2017,8362,KA23479,08/07/2016
460217,NL01/Q0877,09/07/2016,01/07/2016,30/06/2017,8362,KA23482,08/07/2016
460218,NL01/Q0878,09/07/2016,01/07/2016,30/06/2017,8362,KA23486,08/07/2016
460219,NL01/Q0880,09/07/2016,01/07/2016,30/06/2017,8362,KA23489,08/07/2016
460220,NL01/Q0881,09/07/2016,01/07/2016,30/06/2017,8362,KA23492,08/07/2016
460221,NL01/Q0882,09/07/2016,01/07/2016,30/06/2017,8362,KA23495,08/07/2016
460222,NL01/Q0883,09/07/2016,01/07/2016,30/06/2017,8362,KA23499,08/07/2016
460223,NL01/Q0884,09/07/2016,01/07/2016,30/06/2017,8362,KA23501,08/07/2016
460224,NL01/Q0885,09/07/2016,01/07/2016,30/06/2017,8362,KA23508,08/07/2016
460225,NL01/Q0886,09/07/2016,01/07/2016,30/06/2017,4974,KA23403,08/07/2016
460226,NL01/Q0887,09/07/2016,01/07/2016,30/06/2017,5126,KA23516,08/07/2016
460227,NL01/Q0888,09/07/2016,01/07/2016,30/06/2017,5126,KA23517,08/07/2016
460230,NL01/Q0890,09/07/2016,01/07/2016,30/06/2017,5126,KA23518,08/07/2016
460229,NL01/Q0891,09/07/2016,01/07/2016,30/06/2017,5126,KA23520,08/07/2016
460228,NL01/Q0892,09/07/2016,01/07/2016,30/06/2017,5126,KA23519,08/07/2016
460233,NL01/Q0893,09/07/2016,01/07/2016,30/06/2017,5126,KA23521,08/07/2016
460232,NL01/Q0894,09/07/2016,01/07/2016,30/06/2017,5126,KA23522,08/07/2016
460231,NL01/Q0895,09/07/2016,01/07/2016,30/06/2017,5126,KA23526,08/07/2016
460234,NL01/Q0896,09/07/2016,01/07/2016,30/06/2017,5126,KA23523,08/07/2016
460235,NL01/Q0897,09/07/2016,01/07/2016,30/06/2017,5126,KA23524,08/07/2016
460236,NL01/Q0898,09/07/2016,01/07/2016,30/06/2017,5126,KA23525,08/07/2016
460156,NL01/Q0900,09/07/2016,01/07/2016,30/06/2017,5126,KA23453,08/07/2016
460237,NL01/Q0901,09/07/2016,01/07/2016,30/06/2017,5126,KA23450,08/07/2016
460157,NL01/Q0902,09/07/2016,01/07/2016,30/06/2017,5126,KA23449,08/07/2016
460158,NL01/Q0903,09/07/2016,01/07/2016,30/06/2017,5126,KA23429,08/07/2016
460159,NL01/Q0904,09/07/2016,01/07/2016,30/06/2017,5126,KA23433,08/07/2016
460160,NL01/Q0905,09/07/2016,01/07/2016,30/06/2017,5126,KA23436,08/07/2016
460161,NL01/Q0906,09/07/2016,01/07/2016,30/06/2017,5126,KA23439,08/07/2016
460162,NL01/Q0907,09/07/2016,01/07/2016,30/06/2017,5126,KA23442,08/07/2016
460163,NL01/Q0908,09/07/2016,01/07/2016,30/06/2017,5126,KA23447,08/07/2016
460164,NL01/Q0909,09/07/2016,01/07/2016,30/06/2017,11224,KA23537,08/07/2016
460165,NL01/Q0910,09/07/2016,01/07/2016,30/06/2017,5126,KA23445,08/07/2016
460166,NL01/Q0911,09/07/2016,01/07/2016,30/06/2017,5330,KA23458,08/07/2016
460167,NL01/Q0912,09/07/2016,01/07/2016,30/06/2017,7806,KA23546,08/07/2019
460168,NL01/Q0913,09/07/2016,01/07/2016,30/06/2017,7806,KA23545,08/07/2016
460169,NL01/Q0914,09/07/2016,01/07/2016,30/06/2017,7806,KA23544,08/07/2016
460170,NL01/Q0915,09/07/2016,01/07/2016,30/06/2017,7806,KA23543,08/07/2016
460171,NL01/Q0916,09/07/2016,01/07/2016,30/06/2017,5330,KA23542,08/07/2016
